,Country,Participated,Titles,Played,Win,Draw,Loss,Goals For,Goals Against,Pts,Goal Diff
1,Spain,100,11,977,498,239,240,1689,1061,1235,628
2,England,96,6,925,463,219,243,1574,986,1145,588
3,Italy,86,5,766,338,204,224,1125,889,880,236
4,Germany,86,4,751,343,158,250,1258,1015,844,243
5,France,69,1,558,222,126,210,811,717,570,94
6,Portugal,54,1,402,151,90,161,494,539,392,-45
7,Netherlands,42,1,302,100,80,122,359,408,280,-49
8,Russia,43,0,286,71,68,147,306,464,210,-158
9,Greece,34,0,232,65,52,115,242,371,182,-129
10,Ukraine,34,0,227,65,52,110,277,370,182,-93
11,Turkey,33,0,224,54,49,121,212,408,157,-196
12,Belguim,27,0,170,28,47,95,141,316,103,-175
13,Scotland,20,0,128,30,33,65,124,210,93,-86
14,Switzerland,14,0,96,26,20,50,99,172,72,-73
15,Norway,12,0,80,20,18,42,101,143,58,-42
16,Czech Republic,12,0,86,18,22,46,83,156,58,-73
17,Austria,10,0,66,15,12,39,68,132,42,-64
18,Romania,12,0,72,11,19,42,61,116,41,-55
19,Denmark,9,0,56,11,14,31,49,109,36,-60
20,Swedend,9,0,56,13,7,36,46,119,33,-73
21,Croatia,8,0,50,7,10,33,34,102,24,-68
22,Cyprus,5,0,34,4,12,18,24,59,20,-35
23,Belarus,5,0,30,4,7,19,21,73,15,-52
24,Israel,5,0,30,4,4,22,24,58,12,-34
25,Poland,3,0,20,4,4,12,20,45,12,-25
26,SLovenia,3,0,18,1,7,10,9,41,9,-32
27,Serbia,4,0,24,2,4,18,13,58,8,-45
28,Bulgaria,3,0,18,1,4,13,12,46,6,-34
29,Moldova,1,0,6,2,1,3,7,11,5,-4
30,Hungary,3,0,18,1,3,14,19,55,5,-36
31,Slovakia,3,0,18,1,3,14,10,41,5,-31
32,Finland,1,0,6,1,2,3,8,12,4,-4
33,Kazakhstan,1,0,6,0,4,2,5,11,4,-6
34,Azerbaijan,1,0,6,0,2,4,2,14,2,-12
